ImageIndex,ElapsedTime
0,2.515625115000003
1,1.759870191000001
2,1.6556505780000002
3,1.7149816600000016
4,1.679670003000001
5,1.6542199340000008
6,1.694298102999998
7,1.6471609550000001
8,1.6609362299999983
9,1.6404824960000028
10,1.6436614629999984
11,1.6811879089999997
12,1.6453950790000018
13,1.6499636770000004
14,1.646541912999999
15,1.696091526000002
16,1.6480854550000024
17,1.6463280540000014
18,1.647176418000002
19,1.649018022999999
20,1.6414450930000024
21,1.6875123449999991
22,1.6382844509999996
23,1.628721721000001
24,1.6446995289999966
25,1.6410281629999997
26,1.668376856999998
27,1.6487224030000025
28,1.6346414370000026
29,1.638146369
30,1.7473855840000028
31,1.6364655839999998
32,1.6446160100000007
33,1.6436568189999974
34,1.6515552049999997
35,1.6418963280000003
36,1.6492601450000028
37,1.6430120869999987
38,1.6443823929999999
39,1.6572669340000004
40,1.6490660309999998
41,1.650654139
42,1.6429161849999996
43,1.6502716259999965
44,1.657490406000001
45,1.6538858580000007
46,1.652855191999998
47,1.6515990580000002
48,1.6391604860000002
49,1.6480360459999992
50,1.6607589059999994
51,1.6483365879999998
52,1.6537399869999985
53,1.642094307
54,1.6516126090000005
55,1.6643212570000026
56,1.6661950140000008
57,1.6587132360000012
58,1.7328392030000015
59,1.670358567000001
60,1.6515828909999986
61,1.651661460999998
62,1.656423364000002
63,1.6515605119999999
64,1.6822203349999987
65,1.6495250799999992
66,1.644628177
67,1.6467278710000013
68,1.6562914240000015
69,1.6701105559999996
70,1.6499801559999994
71,1.6510218070000005
72,1.6537530130000002
73,1.6457526140000003
74,1.6473888470000002
75,1.6490508480000021
76,1.6549582919999979
77,1.6458268600000001
78,1.6443504219999998
79,1.6526590790000004
80,1.650536490999998
81,1.6485328680000029
82,1.6483715409999993
83,1.6549762780000001
84,1.651387768000001
85,1.6686421949999994
86,1.668996417000001
87,1.716179809999999
88,1.647210909999999
89,1.64269502
90,1.6428230119999956
91,1.6393938099999983
92,1.6460097819999993
93,1.6621804690000035
94,1.6364521970000012
95,1.6338493650000023
96,1.6423680630000004
97,1.6505945340000008
98,1.6477812030000034
99,1.6531915630000005
100,1.629832295999999
101,1.6350161899999989
102,1.6356165499999995
103,1.655972205000001
104,1.6425443800000006
105,1.6683673009999973
106,1.636882729000003
107,1.6411902019999993
108,1.6373097739999967
109,1.6456460889999995
110,1.6364523999999974
111,1.637393682999999
112,1.641097014999999
113,1.6432135070000018
