19/09/20 21:19:40 WARN util.NativeCodeLoader: Unable to load native-hadoop library for your platform... using builtin-java classes where applicable
19/09/20 21:19:48 WARN optim.DistriOptimizer$: Input formats NCHW by default, Please set explicitly if needed
19/09/20 21:19:48 WARN optim.DistriOptimizer$: Output formats NC by default, Please set explicitly if needed
19/09/20 21:19:55 INFO inference.Perf$:  ILSVRC2012_val_00000998.JPEG.jpg , Iteration 0 , takes 0.002278848 s, throughput is 438.82 imgs/sec
19/09/20 21:19:55 INFO inference.Perf$:  ILSVRC2012_val_00000037.JPEG.jpg , Iteration 0 , takes 0.002418267 s, throughput is 413.52 imgs/sec
19/09/20 21:19:55 INFO inference.Perf$:  ILSVRC2012_val_00000586.JPEG.jpg , Iteration 0 , takes 0.002500876 s, throughput is 399.86 imgs/sec
19/09/20 21:19:55 INFO inference.Perf$:  ILSVRC2012_val_00000155.JPEG.jpg , Iteration 0 , takes 0.002180975 s, throughput is 458.51 imgs/sec
19/09/20 21:19:55 INFO inference.Perf$:  ILSVRC2012_val_00000129.JPEG.jpg , Iteration 0 , takes 0.00235982 s, throughput is 423.76 imgs/sec
19/09/20 21:19:55 INFO inference.Perf$:  ILSVRC2012_val_00000355.JPEG.jpg , Iteration 0 , takes 0.002162712 s, throughput is 462.38 imgs/sec
19/09/20 21:19:55 INFO inference.Perf$:  ILSVRC2012_val_00000924.JPEG.jpg , Iteration 0 , takes 0.002205505 s, throughput is 453.41 imgs/sec
19/09/20 21:19:55 INFO inference.Perf$:  ILSVRC2012_val_00000549.JPEG.jpg , Iteration 0 , takes 0.002086123 s, throughput is 479.36 imgs/sec
19/09/20 21:19:55 INFO inference.Perf$:  ILSVRC2012_val_00000239.JPEG.jpg , Iteration 0 , takes 0.002117122 s, throughput is 472.34 imgs/sec
19/09/20 21:19:55 INFO inference.Perf$:  ILSVRC2012_val_00000560.JPEG.jpg , Iteration 0 , takes 0.002044482 s, throughput is 489.12 imgs/sec
19/09/20 21:19:55 INFO inference.Perf$:  ILSVRC2012_val_00000681.JPEG.jpg , Iteration 0 , takes 0.002101553 s, throughput is 475.84 imgs/sec
19/09/20 21:19:55 INFO inference.Perf$:  ILSVRC2012_val_00000619.JPEG.jpg , Iteration 0 , takes 0.002052971 s, throughput is 487.10 imgs/sec
19/09/20 21:19:55 INFO inference.Perf$:  ILSVRC2012_val_00000983.JPEG.jpg , Iteration 0 , takes 0.002119204 s, throughput is 471.88 imgs/sec
19/09/20 21:19:55 INFO inference.Perf$:  ILSVRC2012_val_00000843.JPEG.jpg , Iteration 0 , takes 0.002141314 s, throughput is 467.00 imgs/sec
19/09/20 21:19:55 INFO inference.Perf$:  ILSVRC2012_val_00000204.JPEG.jpg , Iteration 0 , takes 0.002135247 s, throughput is 468.33 imgs/sec
19/09/20 21:19:55 INFO inference.Perf$:  ILSVRC2012_val_00000957.JPEG.jpg , Iteration 0 , takes 0.002063453 s, throughput is 484.62 imgs/sec
19/09/20 21:19:55 INFO inference.Perf$:  ILSVRC2012_val_00000136.JPEG.jpg , Iteration 0 , takes 0.00220666 s, throughput is 453.17 imgs/sec
19/09/20 21:19:55 INFO inference.Perf$:  ILSVRC2012_val_00000757.JPEG.jpg , Iteration 0 , takes 0.002107756 s, throughput is 474.44 imgs/sec
19/09/20 21:19:55 INFO inference.Perf$:  ILSVRC2012_val_00000045.JPEG.jpg , Iteration 0 , takes 0.002246188 s, throughput is 445.20 imgs/sec
19/09/20 21:19:55 INFO inference.Perf$:  ILSVRC2012_val_00000683.JPEG.jpg , Iteration 0 , takes 0.002108305 s, throughput is 474.31 imgs/sec
19/09/20 21:19:55 INFO inference.Perf$:  ILSVRC2012_val_00000120.JPEG.jpg , Iteration 0 , takes 0.002085822 s, throughput is 479.43 imgs/sec
19/09/20 21:19:55 INFO inference.Perf$:  ILSVRC2012_val_00000851.JPEG.jpg , Iteration 0 , takes 0.002101505 s, throughput is 475.85 imgs/sec
19/09/20 21:19:55 INFO inference.Perf$:  ILSVRC2012_val_00000337.JPEG.jpg , Iteration 0 , takes 0.002068931 s, throughput is 483.34 imgs/sec
19/09/20 21:19:55 INFO inference.Perf$:  ILSVRC2012_val_00000742.JPEG.jpg , Iteration 0 , takes 0.002104885 s, throughput is 475.09 imgs/sec
19/09/20 21:19:55 INFO inference.Perf$:  ILSVRC2012_val_00000352.JPEG.jpg , Iteration 0 , takes 0.002171036 s, throughput is 460.61 imgs/sec
19/09/20 21:19:55 INFO inference.Perf$:  ILSVRC2012_val_00000735.JPEG.jpg , Iteration 0 , takes 0.002383297 s, throughput is 419.59 imgs/sec
19/09/20 21:19:55 INFO inference.Perf$:  ILSVRC2012_val_00000634.JPEG.jpg , Iteration 0 , takes 0.002165216 s, throughput is 461.85 imgs/sec
19/09/20 21:19:55 INFO inference.Perf$:  ILSVRC2012_val_00000571.JPEG.jpg , Iteration 0 , takes 0.002301501 s, throughput is 434.50 imgs/sec
19/09/20 21:19:55 INFO inference.Perf$:  ILSVRC2012_val_00000487.JPEG.jpg , Iteration 0 , takes 0.002096693 s, throughput is 476.94 imgs/sec
19/09/20 21:19:55 INFO inference.Perf$:  ILSVRC2012_val_00000897.JPEG.jpg , Iteration 0 , takes 0.002088618 s, throughput is 478.79 imgs/sec
19/09/20 21:19:55 INFO inference.Perf$:  ILSVRC2012_val_00000667.JPEG.jpg , Iteration 0 , takes 0.002031081 s, throughput is 492.35 imgs/sec
19/09/20 21:19:55 INFO inference.Perf$:  ILSVRC2012_val_00000607.JPEG.jpg , Iteration 0 , takes 0.002089226 s, throughput is 478.65 imgs/sec
19/09/20 21:19:55 INFO inference.Perf$:  ILSVRC2012_val_00000378.JPEG.jpg , Iteration 0 , takes 0.002038133 s, throughput is 490.65 imgs/sec
19/09/20 21:19:55 INFO inference.Perf$:  ILSVRC2012_val_00000706.JPEG.jpg , Iteration 0 , takes 0.002091833 s, throughput is 478.05 imgs/sec
19/09/20 21:19:55 INFO inference.Perf$:  ILSVRC2012_val_00000653.JPEG.jpg , Iteration 0 , takes 0.002043309 s, throughput is 489.40 imgs/sec
19/09/20 21:19:55 INFO inference.Perf$:  ILSVRC2012_val_00000096.JPEG.jpg , Iteration 0 , takes 0.00210959 s, throughput is 474.03 imgs/sec
19/09/20 21:19:55 INFO inference.Perf$:  ILSVRC2012_val_00000815.JPEG.jpg , Iteration 0 , takes 0.002044699 s, throughput is 489.07 imgs/sec
19/09/20 21:19:55 INFO inference.Perf$:  ILSVRC2012_val_00000032.JPEG.jpg , Iteration 0 , takes 0.00210802 s, throughput is 474.38 imgs/sec
19/09/20 21:19:55 INFO inference.Perf$:  ILSVRC2012_val_00000005.JPEG.jpg , Iteration 0 , takes 0.002078047 s, throughput is 481.22 imgs/sec
19/09/20 21:19:55 INFO inference.Perf$:  ILSVRC2012_val_00000451.JPEG.jpg , Iteration 0 , takes 0.002072792 s, throughput is 482.44 imgs/sec
19/09/20 21:19:55 INFO inference.Perf$:  ILSVRC2012_val_00000636.JPEG.jpg , Iteration 0 , takes 0.002083824 s, throughput is 479.89 imgs/sec
19/09/20 21:19:55 INFO inference.Perf$:  ILSVRC2012_val_00000042.JPEG.jpg , Iteration 0 , takes 0.002104506 s, throughput is 475.17 imgs/sec
19/09/20 21:19:55 INFO inference.Perf$:  ILSVRC2012_val_00000984.JPEG.jpg , Iteration 0 , takes 0.002463455 s, throughput is 405.93 imgs/sec
19/09/20 21:19:55 INFO inference.Perf$:  ILSVRC2012_val_00000457.JPEG.jpg , Iteration 0 , takes 0.002391336 s, throughput is 418.18 imgs/sec
19/09/20 21:19:55 INFO inference.Perf$:  ILSVRC2012_val_00000203.JPEG.jpg , Iteration 0 , takes 0.002384584 s, throughput is 419.36 imgs/sec
19/09/20 21:19:55 INFO inference.Perf$:  ILSVRC2012_val_00000301.JPEG.jpg , Iteration 0 , takes 0.002381795 s, throughput is 419.85 imgs/sec
19/09/20 21:19:55 INFO inference.Perf$:  ILSVRC2012_val_00000447.JPEG.jpg , Iteration 0 , takes 0.002209618 s, throughput is 452.57 imgs/sec
19/09/20 21:19:55 INFO inference.Perf$:  ILSVRC2012_val_00000720.JPEG.jpg , Iteration 0 , takes 0.002117226 s, throughput is 472.32 imgs/sec
19/09/20 21:19:55 INFO inference.Perf$:  ILSVRC2012_val_00000647.JPEG.jpg , Iteration 0 , takes 0.002124087 s, throughput is 470.79 imgs/sec
19/09/20 21:19:55 INFO inference.Perf$:  ILSVRC2012_val_00000724.JPEG.jpg , Iteration 0 , takes 0.002033917 s, throughput is 491.66 imgs/sec
19/09/20 21:19:55 INFO inference.Perf$:  ILSVRC2012_val_00000944.JPEG.jpg , Iteration 0 , takes 0.002691094 s, throughput is 371.60 imgs/sec
19/09/20 21:19:55 INFO inference.Perf$:  ILSVRC2012_val_00000299.JPEG.jpg , Iteration 0 , takes 0.002375453 s, throughput is 420.97 imgs/sec
19/09/20 21:19:55 INFO inference.Perf$:  ILSVRC2012_val_00000789.JPEG.jpg , Iteration 0 , takes 0.002118613 s, throughput is 472.01 imgs/sec
19/09/20 21:19:55 INFO inference.Perf$:  ILSVRC2012_val_00000495.JPEG.jpg , Iteration 0 , takes 0.002182024 s, throughput is 458.29 imgs/sec
19/09/20 21:19:55 INFO inference.Perf$:  ILSVRC2012_val_00000802.JPEG.jpg , Iteration 0 , takes 0.002261194 s, throughput is 442.24 imgs/sec
19/09/20 21:19:55 INFO inference.Perf$:  ILSVRC2012_val_00000905.JPEG.jpg , Iteration 0 , takes 0.00223936 s, throughput is 446.56 imgs/sec
19/09/20 21:19:55 INFO inference.Perf$:  ILSVRC2012_val_00000371.JPEG.jpg , Iteration 0 , takes 0.002416692 s, throughput is 413.79 imgs/sec
19/09/20 21:19:55 INFO inference.Perf$:  ILSVRC2012_val_00000702.JPEG.jpg , Iteration 0 , takes 0.002003084 s, throughput is 499.23 imgs/sec
19/09/20 21:19:55 INFO inference.Perf$:  ILSVRC2012_val_00000181.JPEG.jpg , Iteration 0 , takes 0.002001004 s, throughput is 499.75 imgs/sec
19/09/20 21:19:55 INFO inference.Perf$:  ILSVRC2012_val_00000048.JPEG.jpg , Iteration 0 , takes 0.001981863 s, throughput is 504.58 imgs/sec
19/09/20 21:19:55 INFO inference.Perf$:  ILSVRC2012_val_00000140.JPEG.jpg , Iteration 0 , takes 0.001943435 s, throughput is 514.55 imgs/sec
19/09/20 21:19:55 INFO inference.Perf$:  ILSVRC2012_val_00000040.JPEG.jpg , Iteration 0 , takes 0.002243803 s, throughput is 445.67 imgs/sec
19/09/20 21:19:55 INFO inference.Perf$:  ILSVRC2012_val_00000278.JPEG.jpg , Iteration 0 , takes 0.002432489 s, throughput is 411.10 imgs/sec
19/09/20 21:19:55 INFO inference.Perf$:  ILSVRC2012_val_00000175.JPEG.jpg , Iteration 0 , takes 0.002304435 s, throughput is 433.95 imgs/sec
19/09/20 21:19:55 INFO inference.Perf$:  ILSVRC2012_val_00000392.JPEG.jpg , Iteration 0 , takes 0.001922059 s, throughput is 520.28 imgs/sec
19/09/20 21:19:55 INFO inference.Perf$:  ILSVRC2012_val_00000067.JPEG.jpg , Iteration 0 , takes 0.001978079 s, throughput is 505.54 imgs/sec
19/09/20 21:19:55 INFO inference.Perf$:  ILSVRC2012_val_00000353.JPEG.jpg , Iteration 0 , takes 0.001989235 s, throughput is 502.71 imgs/sec
19/09/20 21:19:55 INFO inference.Perf$:  ILSVRC2012_val_00000464.JPEG.jpg , Iteration 0 , takes 0.002289093 s, throughput is 436.85 imgs/sec
19/09/20 21:19:55 INFO inference.Perf$:  ILSVRC2012_val_00000814.JPEG.jpg , Iteration 0 , takes 0.001940012 s, throughput is 515.46 imgs/sec
19/09/20 21:19:55 INFO inference.Perf$:  ILSVRC2012_val_00000077.JPEG.jpg , Iteration 0 , takes 0.001974704 s, throughput is 506.41 imgs/sec
19/09/20 21:19:55 INFO inference.Perf$:  ILSVRC2012_val_00000934.JPEG.jpg , Iteration 0 , takes 0.001934234 s, throughput is 517.00 imgs/sec
19/09/20 21:19:56 INFO inference.Perf$:  ILSVRC2012_val_00000280.JPEG.jpg , Iteration 0 , takes 0.001902558 s, throughput is 525.61 imgs/sec
19/09/20 21:19:56 INFO inference.Perf$:  ILSVRC2012_val_00000382.JPEG.jpg , Iteration 0 , takes 0.00200993 s, throughput is 497.53 imgs/sec
19/09/20 21:19:56 INFO inference.Perf$:  ILSVRC2012_val_00000740.JPEG.jpg , Iteration 0 , takes 0.001915128 s, throughput is 522.16 imgs/sec
19/09/20 21:19:56 INFO inference.Perf$:  ILSVRC2012_val_00000049.JPEG.jpg , Iteration 0 , takes 0.001975571 s, throughput is 506.18 imgs/sec
19/09/20 21:19:56 INFO inference.Perf$:  ILSVRC2012_val_00000945.JPEG.jpg , Iteration 0 , takes 0.001902159 s, throughput is 525.72 imgs/sec
19/09/20 21:19:56 INFO inference.Perf$:  ILSVRC2012_val_00000509.JPEG.jpg , Iteration 0 , takes 0.00191262 s, throughput is 522.84 imgs/sec
19/09/20 21:19:56 INFO inference.Perf$:  ILSVRC2012_val_00000850.JPEG.jpg , Iteration 0 , takes 0.002013147 s, throughput is 496.73 imgs/sec
19/09/20 21:19:56 INFO inference.Perf$:  ILSVRC2012_val_00000408.JPEG.jpg , Iteration 0 , takes 0.001897524 s, throughput is 527.00 imgs/sec
19/09/20 21:19:56 INFO inference.Perf$:  ILSVRC2012_val_00000803.JPEG.jpg , Iteration 0 , takes 0.001987805 s, throughput is 503.07 imgs/sec
19/09/20 21:19:56 INFO inference.Perf$:  ILSVRC2012_val_00000835.JPEG.jpg , Iteration 0 , takes 0.002044918 s, throughput is 489.02 imgs/sec
19/09/20 21:19:56 INFO inference.Perf$:  ILSVRC2012_val_00000384.JPEG.jpg , Iteration 0 , takes 0.002200972 s, throughput is 454.34 imgs/sec
19/09/20 21:19:56 INFO inference.Perf$:  ILSVRC2012_val_00000412.JPEG.jpg , Iteration 0 , takes 0.001939566 s, throughput is 515.58 imgs/sec
19/09/20 21:19:56 INFO inference.Perf$:  ILSVRC2012_val_00000705.JPEG.jpg , Iteration 0 , takes 0.001908102 s, throughput is 524.08 imgs/sec
19/09/20 21:19:56 INFO inference.Perf$:  ILSVRC2012_val_00000725.JPEG.jpg , Iteration 0 , takes 0.001955964 s, throughput is 511.26 imgs/sec
19/09/20 21:19:56 INFO inference.Perf$:  ILSVRC2012_val_00000367.JPEG.jpg , Iteration 0 , takes 0.00190601 s, throughput is 524.66 imgs/sec
19/09/20 21:19:56 INFO inference.Perf$:  ILSVRC2012_val_00000439.JPEG.jpg , Iteration 0 , takes 0.001976467 s, throughput is 505.95 imgs/sec
19/09/20 21:19:56 INFO inference.Perf$:  ILSVRC2012_val_00000405.JPEG.jpg , Iteration 0 , takes 0.001915271 s, throughput is 522.12 imgs/sec
19/09/20 21:19:56 INFO inference.Perf$:  ILSVRC2012_val_00000637.JPEG.jpg , Iteration 0 , takes 0.001972813 s, throughput is 506.89 imgs/sec
19/09/20 21:19:56 INFO inference.Perf$:  ILSVRC2012_val_00000415.JPEG.jpg , Iteration 0 , takes 0.001935758 s, throughput is 516.59 imgs/sec
19/09/20 21:19:56 INFO inference.Perf$:  ILSVRC2012_val_00000324.JPEG.jpg , Iteration 0 , takes 0.002024962 s, throughput is 493.84 imgs/sec
19/09/20 21:19:56 INFO inference.Perf$:  ILSVRC2012_val_00000881.JPEG.jpg , Iteration 0 , takes 0.001991859 s, throughput is 502.04 imgs/sec
19/09/20 21:19:56 INFO inference.Perf$:  ILSVRC2012_val_00000285.JPEG.jpg , Iteration 0 , takes 0.001936782 s, throughput is 516.32 imgs/sec
19/09/20 21:19:56 INFO inference.Perf$:  ILSVRC2012_val_00000225.JPEG.jpg , Iteration 0 , takes 0.001978493 s, throughput is 505.44 imgs/sec
19/09/20 21:19:56 INFO inference.Perf$:  ILSVRC2012_val_00000490.JPEG.jpg , Iteration 0 , takes 0.001915436 s, throughput is 522.07 imgs/sec
19/09/20 21:19:56 INFO inference.Perf$:  ILSVRC2012_val_00000235.JPEG.jpg , Iteration 0 , takes 0.001952046 s, throughput is 512.28 imgs/sec
19/09/20 21:19:56 INFO inference.Perf$:  ILSVRC2012_val_00000423.JPEG.jpg , Iteration 0 , takes 0.001918134 s, throughput is 521.34 imgs/sec
19/09/20 21:19:56 INFO inference.Perf$:  ILSVRC2012_val_00000350.JPEG.jpg , Iteration 0 , takes 0.001975683 s, throughput is 506.15 imgs/sec
19/09/20 21:19:56 INFO inference.Perf$:  ILSVRC2012_val_00000200.JPEG.jpg , Iteration 0 , takes 0.002058987 s, throughput is 485.68 imgs/sec
19/09/20 21:19:56 INFO inference.Perf$:  ILSVRC2012_val_00000004.JPEG.jpg , Iteration 0 , takes 0.00213036 s, throughput is 469.40 imgs/sec
